City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,zabol,32.25,67.25,294.69,17,0,1.35,AF,1686619297
314,fort st. john,56.2499,-120.8529,296.09,35,75,5.14,CA,1686619080
315,sisimiut,66.9395,-53.6735,272.92,85,13,3.18,GL,1686619299
316,frontera,26.9333,-101.45,311.98,34,0,1.34,MX,1686619299
317,yefremov,53.1481,38.0992,283.82,69,99,6.5,RU,1686619299
318,bulungu,-4.55,18.6,294.58,95,93,1.1,CD,1686619299
319,laurentides,46.4334,-74.9826,295.21,64,100,3.91,CA,1686619300
320,owando,-0.4819,15.8999,295.24,95,100,1.32,CG,1686619300
321,seven pagodas,12.6264,80.1722,303.18,66,100,4.22,IN,1686619300
322,sesheke,-17.4759,24.2968,286.88,35,10,2.54,ZM,1686619301
323,ouani,-12.1322,44.4258,297.73,74,13,1.81,KM,1686619301
324,dhidhdhoo,6.8833,73.1,302.03,79,100,8.17,MV,1686618803
325,mushie,-3.0167,16.9,295.24,95,96,1.37,CD,1686619301
326,peace river,56.2501,-117.286,298.32,41,100,3.6,CA,1686618810
327,eravur town,7.7782,81.6038,300.55,76,100,1.38,LK,1686619302
328,manistee,44.2445,-86.3242,286.16,82,98,0.63,US,1686619302
329,kenai,60.5544,-151.2583,283.79,72,100,2.06,US,1686618820
330,horsham,51.064,-0.3272,290.82,88,0,1.54,GB,1686619302
331,weno,7.4515,151.8468,304.12,74,75,6.69,FM,1686618854
332,maitum,6.0392,124.4986,302.78,68,9,1.16,PH,1686619303
333,maragogi,-9.0122,-35.2225,297.86,86,22,4.72,BR,1686619029
334,djibouti,11.5,42.5,304.26,33,100,2.06,DJ,1686619303
335,lodja,-3.4833,23.4333,294.09,89,12,0.82,CD,1686619303
336,mandal,25.45,74.5667,303.04,50,4,4.58,IN,1686619304
337,santiago de cuba,20.0247,-75.8219,298.21,91,9,0.73,CU,1686619304
338,bar-sur-aube,48.25,4.5833,290.34,67,9,2.89,FR,1686619304
339,dazhou,31.2159,107.5009,297.51,72,24,0.75,CN,1686619304
340,san-pedro,4.7485,-6.6363,298.46,78,100,3.31,CI,1686619305
341,letlhakane,-21.4167,25.5833,285.31,41,79,7.56,BW,1686619305
342,tinaan,11.2667,123.75,301.75,76,100,3.16,PH,1686619305
343,hayrabolu,41.2131,27.1069,287.01,96,15,2.07,TR,1686619305
344,arkhangel'sk,64.5401,40.5433,287.53,55,89,4.49,RU,1686619305
345,lappeenranta,61.0587,28.1887,282.47,76,0,3.09,FI,1686619306
346,noumea,-22.2763,166.4572,298.14,99,0,5.23,NC,1686619042
347,nyagan,62.1406,65.3936,280.57,53,10,1.42,RU,1686619306
348,dzuunharaa,48.8523,106.4579,298.49,31,100,3.89,MN,1686619306
349,berezovo,63.9381,65.0419,279.65,55,23,3.02,RU,1686619307
350,soio,-6.1349,12.3689,295.86,90,11,3.0,AO,1686619307
351,brisas de zicatela,15.8369,-97.0419,304.44,66,20,2.57,MX,1686618814
352,anadyr,64.75,177.4833,289.43,51,0,4.0,RU,1686618746
353,arenapolis,-14.4503,-56.8461,292.35,91,98,3.02,BR,1686619308
354,altai,46.3722,96.2583,286.33,55,61,1.86,MN,1686619308
355,fort bragg,35.139,-79.006,297.23,88,100,2.57,US,1686618791
356,sadovoye,47.7764,44.5089,291.8,67,100,5.3,RU,1686619309
357,okhotsk,59.3833,143.3,281.61,85,84,5.02,RU,1686618846
358,yauya,-8.9833,-77.3,283.93,75,47,2.31,PE,1686619072
359,piti village,13.4626,144.6933,303.88,80,40,7.2,GU,1686619309
360,gamay,12.3854,125.2979,304.16,62,100,2.26,PH,1686619310
361,sinan,34.8262,126.1086,297.21,76,100,2.6,KR,1686619310
362,moose jaw,50.4001,-105.5344,301.3,20,75,3.09,CA,1686618816
363,malango,-2.9627,119.9001,297.9,76,37,1.03,ID,1686618769
364,cestos city,5.46,-9.5828,298.77,80,31,4.03,LR,1686619223
